# Logfile created on 2014-10-13 00:00:52 +0800 by logger.rb/41954
00:00:52 | GET  | /ssxw/160 | _200_ |  | 129ms | 127.0.0.1 | localhost | http://localhost:3000/ssxw | Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/35.0.1916.153 Safari/537.36
00:00:52 | GET  | /components/upload/image/20140715/20140715031323_65840.jpg | _404_ |  | 5  ms | 127.0.0.1 | localhost | http://localhost:3000/ssxw/160 | Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/35.0.1916.153 Safari/537.36
00:01:25 | GET  | /ssxw/160 | _200_ |  | 124ms | 127.0.0.1 | localhost | http://localhost:3000/ssxw | Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/35.0.1916.153 Safari/537.36
00:01:25 | GET  | /components/upload/image/20140715/20140715031323_65840.jpg | _404_ |  | 4  ms | 127.0.0.1 | localhost | http://localhost:3000/ssxw/160 | Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/35.0.1916.153 Safari/537.36
00:01:30 | GET  | /components/upload/image/20140715/20140715031323_65840.jpg | _404_ |  | 14 ms | 127.0.0.1 | localhost | http://localhost:3000/ssxw/160 | Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/35.0.1916.153 Safari/537.36
00:01:30 | GET  | /ssxw/160 | _200_ |  | 126ms | 127.0.0.1 | localhost | http://localhost:3000/ssxw | Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/35.0.1916.153 Safari/537.36
00:01:30 | GET  | /components/upload/image/20140715/20140715031323_65840.jpg | _404_ |  | 5  ms | 127.0.0.1 | localhost | http://localhost:3000/ssxw/160 | Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/35.0.1916.153 Safari/537.36
00:01:47 | GET  | /ssxw/160 | _200_ |  | 148ms | 127.0.0.1 | localhost | http://localhost:3000/ssxw | Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/35.0.1916.153 Safari/537.36
00:01:47 | GET  | /components/upload/image/20140715/20140715031323_65840.jpg | _404_ |  | 5  ms | 127.0.0.1 | localhost | http://localhost:3000/ssxw/160 | Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/35.0.1916.153 Safari/537.36
00:02:03 | GET  | /ssxw/160 | _200_ |  | 125ms | 127.0.0.1 | localhost | http://localhost:3000/ssxw | Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/35.0.1916.153 Safari/537.36
00:02:04 | GET  | /components/upload/image/20140715/20140715031323_65840.jpg | _404_ |  | 21 ms | 127.0.0.1 | localhost | http://localhost:3000/ssxw/160 | Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/35.0.1916.153 Safari/537.36
00:02:21 | GET  | /ssxw/160 | _200_ |  | 139ms | 127.0.0.1 | localhost | http://localhost:3000/ssxw | Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/35.0.1916.153 Safari/537.36
00:02:21 | GET  | /components/upload/image/20140715/20140715031323_65840.jpg | _404_ |  | 3  ms | 127.0.0.1 | localhost | http://localhost:3000/ssxw/160 | Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/35.0.1916.153 Safari/537.36
