# Logfile created on 2014-10-14 00:01:13 +0800 by logger.rb/41954
00:01:13 | GET  | /dxcj/248/9498 | _500_ |  | 100ms | 127.0.0.1 | localhost | http://localhost:3000/dxcj/248 | Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/37.0.2062.124 Safari/537.36
00:01:14 | GET  | /__sinatra__/500.png | _404_ |  | 4  ms | 127.0.0.1 | localhost | http://localhost:3000/dxcj/248/9498 | Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/37.0.2062.124 Safari/537.36
00:03:11 | GET  | /dxcj/248/9498 | _200_ |  | 97 ms | 127.0.0.1 | localhost | http://localhost:3000/dxcj/248 | Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/37.0.2062.124 Safari/537.36
00:11:59 | GET  | /dxcj/248/9498 | _200_ |  | 198ms | 127.0.0.1 | localhost | http://localhost:3000/dxcj/248 | Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/37.0.2062.124 Safari/537.36
00:16:55 | GET  | /dxcj/248/9498 | _200_ |  | 210ms | 127.0.0.1 | localhost | http://localhost:3000/dxcj/248 | Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/37.0.2062.124 Safari/537.36
00:17:00 | GET  | /dxcj | _200_ |  | 50 ms | 127.0.0.1 | localhost | http://localhost:3000/dxcj/248/9498 | Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/37.0.2062.124 Safari/537.36
00:17:02 | GET  | /dxcj/249 | _200_ |  | 205ms | 127.0.0.1 | localhost | http://localhost:3000/dxcj | Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/37.0.2062.124 Safari/537.36
00:17:07 | GET  | /dxcj/249/8668 | _200_ |  | 516ms | 127.0.0.1 | localhost | http://localhost:3000/dxcj/249 | Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/37.0.2062.124 Safari/537.36
00:17:11 | GET  | /dxcj | _200_ |  | 45 ms | 127.0.0.1 | localhost | http://localhost:3000/dxcj/249/8668 | Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/37.0.2062.124 Safari/537.36
00:17:13 | GET  | /dxcj/256 | _200_ |  | 189ms | 127.0.0.1 | localhost | http://localhost:3000/dxcj | Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/37.0.2062.124 Safari/537.36
00:17:17 | GET  | /dxcj/256/9030 | _200_ |  | 1134ms | 127.0.0.1 | localhost | http://localhost:3000/dxcj/256 | Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/37.0.2062.124 Safari/537.36
